> seed 1

50 8
2 2 70
2 8 150
3 8 130
3 4 40
3 1 90
3 1 140
3 5 140
2 2 80
2 1 30
4 1 90
4 4 90
4 1 110
2 8 100
4 4 80
2 4 150
3 5 30
3 2 50
4 5 40
4 6 140
4 7 110
4 4 70
3 8 110
3 1 100
2 7 90
4 3 80
4 6 40
3 2 150
2 7 80
3 1 100
2 5 140
4 7 130
2 3 110
2 1 150
2 4 90
4 6 120
3 8 70
4 1 90
4 3 110
4 4 90
2 8 80
4 4 110
3 8 80
3 6 30
4 6 100
4 1 150
2 3 110
4 3 40
4 5 30
4 2 40
2 8 30
180 180 100 80 100 60 180 140 

> seed 2

50 8
2 2 40
3 3 140
4 5 70
4 4 120
2 3 90
4 7 150
4 6 110
3 5 30
2 6 100
3 7 90
4 3 110
2 4 60
2 3 80
2 3 110
4 6 110
4 3 100
3 6 150
4 6 80
3 3 150
3 8 130
4 4 100
3 8 110
4 6 130
3 8 80
4 8 100
4 4 80
4 3 120
3 8 70
3 7 70
4 4 100
4 6 130
4 2 150
3 1 60
4 2 30
4 1 70
4 4 130
2 3 70
2 4 30
3 1 30
3 6 50
2 1 40
2 2 30
2 1 80
3 3 50
4 3 110
4 1 90
4 1 150
2 3 30
2 6 120
4 2 70
100 120 60 100 120 140 180 140 

> seed 3

50 8
2 3 80
4 8 130
4 2 120
2 8 70
4 4 60
4 8 110
4 8 90
4 3 60
4 3 110
3 1 130
2 3 150
4 1 70
2 5 100
4 7 140
3 7 140
4 8 50
3 2 30
2 8 60
3 7 150
4 5 90
4 7 120
3 7 120
2 6 130
2 5 120
4 3 140
3 2 140
4 4 130
4 5 70
2 2 100
4 8 40
3 2 90
2 1 70
3 7 40
2 1 90
4 6 110
3 4 30
3 1 40
2 1 60
3 5 120
3 3 140
2 6 80
3 3 90
3 8 110
3 2 120
4 5 90
4 4 70
3 5 110
3 6 30
3 6 30
3 3 30
160 160 100 120 100 160 100 140 

> seed 4

50 8
2 5 40
4 7 100
2 2 40
2 7 110
3 1 60
4 6 70
2 2 70
2 1 130
3 5 60
2 5 70
4 6 40
4 6 130
3 4 50
2 8 70
2 5 30
3 5 150
4 4 90
3 5 90
3 3 60
3 5 150
2 2 30
3 5 110
4 8 140
3 3 130
2 2 90
2 8 70
2 6 90
4 6 130
4 4 80
2 1 140
2 5 150
4 4 40
3 3 70
3 1 30
3 2 70
4 6 30
3 5 80
2 7 120
4 2 70
4 4 100
3 3 70
3 3 80
4 1 80
2 8 50
3 6 70
4 2 100
2 7 60
2 1 30
2 3 120
4 3 120
60 140 120 140 80 100 60 60 

> seed 5

50 8
4 5 140
3 1 100
2 1 50
