100 10
2 3 70
2 16 150
3 16 130
3 7 40
3 1 90
3 1 140
3 9 140
2 4 80
2 1 30
4 1 90
4 7 90
4 1 110
2 15 100
4 8 80
2 8 150
3 10 30
3 4 50
4 10 40
4 11 140
4 17 90
4 7 70
3 16 110
3 2 100
2 13 90
4 6 80
4 12 40
3 17 40
2 17 90
3 16 140
2 16 30
3 13 130
2 6 110
2 1 150
2 8 90
4 12 120
3 15 70
4 1 90
4 17 150
2 17 150
4 7 90
2 16 80
4 7 110
3 16 80
3 12 30
4 11 100
4 1 150
2 6 110
4 6 40
4 9 30
4 3 40
2 15 30
3 8 70
2 6 80
3 3 50
2 9 110
2 9 130
4 10 100
4 11 100
3 4 30
3 13 80
3 7 70
2 9 140
4 7 120
3 1 60
2 13 50
2 6 100
4 17 130
3 8 130
4 17 100
2 17 130
2 13 130
4 11 130
4 14 30
4 10 50
2 2 70
2 3 70
3 6 90
4 9 50
2 2 120
2 15 50
4 17 30
3 7 80
2 7 120
4 14 120
2 16 40
4 13 70
4 16 30
3 13 70
2 6 60
3 5 80
3 7 70
4 4 90
4 12 130
4 16 150
4 8 40
4 2 40
2 6 50
4 7 70
3 17 70
3 11 80
60 100 80 180 140 180 160 120 80 140 
