> seed 1

15 3
2 1 70
2 2 150
3 2 130
3 1 40
3 1 90
3 1 140
3 2 140
2 1 80
2 1 30
4 1 90
4 1 90
4 1 110
2 2 100
4 1 80
2 1 150
120 100 60 

> seed 2

15 3
2 1 40
3 1 140
4 2 70
4 1 120
2 1 90
4 2 150
4 2 110
3 2 30
2 2 100
3 2 90
4 1 110
2 1 60
2 1 80
2 1 110
4 2 110
160 140 80 

> seed 3

15 3
2 1 80
4 2 130
4 1 120
2 2 70
4 1 60
4 2 110
4 2 90
4 1 60
4 1 110
3 1 130
2 1 150
4 1 70
2 2 100
4 2 140
3 2 140
180 140 120 

> seed 4

15 3
2 2 40
4 2 100
2 1 40
2 2 110
3 1 60
4 2 70
2 1 70
2 1 130
3 2 60
2 2 70
4 2 40
4 2 130
3 1 50
2 2 70
2 2 30
100 140 160 

> seed 5

15 3
4 2 140
3 1 100
2 1 50
2 2 100
2 2 110
2 1 30
4 1 90
3 1 150
3 1 150
2 1 120
4 2 50
2 1 30
2 1 50
2 2 80
2 1 50
160 80 120 

> seed 6

15 3
4 1 100
3 1 30
2 2 150
4 2 80
2 2 100
2 2 110
4 1 60
4 2 130
4 1 90
3 1 80
3 2 100
4 1 150
2 2 40
2 1 130
3 2 60
140 140 160 

> seed 7

15 3
3 1 90
4 1 40
4 1 80
4 1 110
2 1 40
3 2 40
2 1 110
3 1 120
2 1 130
4 1 120
4 2 30
2 1 110
2 2 90
2 1 120
3 1 40
140 140 160 

> seed 8

15 3
2 2 90
2 1 140
2 1 50
2 1 90
4 1 100
3 2 90
3 1 90
2 2 60
2 2 110
3 2 90
4 1 130
3 1 40
3 2 40
4 1 80
2 1 100
160 140 80 

> seed 9

15 3
3 2 70
2 1 130
2 2 110
3 1 80
4 1 140
3 1 140
3 2 50
2 1 30
2 1 110
4 1 150
4 2 150
4 1 70
2 1 140
3 1 150
3 1 90
100 100 180 

> seed 10

15 3
4 1 90
3 1 60
3 2 70
4 1 30
4 2 80
2 1 140
3 1 90
2 2 90
3 2 130
3 2 50
4 2 130
3 1 100
2 2 120
3 1 120
2 1 50
80 100 140
